SMILES,Side Effects
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Social circumstances', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
F,"['Immune system disorders', 'General disorders and administration site conditions', 'Skin and subcutaneous tissue disorders', 'Injury, poisoning and procedural complications']"
CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,"['Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CCOC(=O)N1C=CN(C1=S)C,"['Hepatobiliary disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4,"['Eye disorders', 'Gastrointestinal disorders', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Psychiatric disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders']"
CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,"['Eye disorders', 'Investigations', 'Gastrointestinal disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,"['Metabolism and nutrition disorders', 'Investigations', 'Gastrointestinal disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Respiratory, thoracic and mediastinal disorders', 'Pregnancy, puerperium and perinatal conditions', 'Cardiac disorders', 'Nervous system disorders']"
CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O,"['Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC(C)(C)NCC(=O)NC1=C(C2=C(CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)C(=C1)N(C)C)O,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Product issues', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1=CN=C(N=C1)[NH2+]S(=[OH+])(=O)C2=CC=C(C=C2)N.[Ag+],"['Hepatobiliary disorders', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Social circumstances', 'Immune system disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Renal and urinary disorders', 'Nervous system disorders']"
C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,"['Gastrointestinal disorders', 'Immune system disorders', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Psychiatric disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,"['Metabolism and nutrition disorders', 'Eye disorders', 'Gastrointestinal disorders', 'Social circumstances', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC(C)C1=NC(=NC(=C1C=C[C@@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1CCC(CC1)NC(=O)N(CCCl)N=O,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC(=O)NC1=[N+](N=C(S1)S(=O)(=O)N)C,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C(=O)(O)O,"['Metabolism and nutrition disorders', 'Gastrointestinal disorders', 'General disorders and administration site conditions', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Cardiac disorders', 'Nervous system disorders']"
C(=NC(=N)N)(N)N,"['Immune system disorders', 'General disorders and administration site conditions', 'Skin and subcutaneous tissue disorders']"
C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,"['Eye disorders', 'Investigations', 'Immune system disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Injury, poisoning and procedural complications']"
CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Social circumstances', 'Immune system disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Endocrine disorders', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C[C@@H]1C[C@H]2C3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)Cl)C,"['Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Endocrine disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Ear and labyrinth disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(N=C2N)F,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Congenital, familial and genetic disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O.C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders']"
CCC(CO)NCCNC(CC)CO,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Congenital, familial and genetic disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
S=[Se]=S,['Skin and subcutaneous tissue disorders']
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Social circumstances', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,"['Eye disorders', 'Investigations', 'Gastrointestinal disorders', 'General disorders and administration site conditions', 'Skin and subcutaneous tissue disorders', 'Psychiatric disorders', 'Nervous system disorders']"
CC1CC2=C(CCC(=O)C2)C3C1C4CCC(C4(CC3)C)(C#C)O,"['Hepatobiliary disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Cardiac disorders', 'Nervous system disorders']"
C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl,"['Musculoskeletal and connective tissue disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Cardiac disorders', 'Nervous system disorders']"
CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C/C=C(/C)\C(=O)O[C@H]1C(=C[C@@]23[C@@]1([C@@H](C(=C[C@H](C2=O)[C@H]4[C@H](C4(C)C)C[C@H]3C)CO)O)O)C,"['Eye disorders', 'General disorders and administration site conditions', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Nervous system disorders']"
CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,"['Metabolism and nutrition disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,"['Investigations', 'Musculoskeletal and connective tissue disorders', 'Vascular disorders', 'Cardiac disorders']"
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,"['Hepatobiliary disorders', 'Investigations', 'Gastrointestinal disorders', 'Immune system disorders', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Respiratory, thoracic and mediastinal disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Injury, poisoning and procedural complications']"
C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Endocrine disorders', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Congenital, familial and genetic disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2NC(=NC3=O)N,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Product issues', 'Investigations', 'Gastrointestinal disorders', 'Immune system disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Psychiatric disorders', 'Renal and urinary disorders', 'Nervous system disorders']"
CC(=O)N(C)C1=C(C(=C(C(=C1I)C(=O)NCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NCCO)I)I)C(=O)NC)I,"['Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC#CCC(C)[C@@H](C=CC1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)C2)O)O,"['Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'General disorders and administration site conditions', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Cardiac disorders', 'Nervous system disorders']"
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,"['Hepatobiliary disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Psychiatric disorders', 'Renal and urinary disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)F,"['Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Vascular disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Immune system disorders', 'Reproductive system and breast disorders', 'General disorders and administration site conditions', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,"['Hepatobiliary disorders', 'Metabolism and nutrition disorders', 'Eye disorders', 'Investigations', 'Musculoskeletal and connective tissue disorders', 'Gastrointestinal disorders', 'Social circumstances', 'Immune system disorders', 'Reproductive system and breast disorders', 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)', 'General disorders and administration site conditions', 'Endocrine disorders', 'Surgical and medical procedures', 'Vascular disorders', 'Blood and lymphatic system disorders', 'Skin and subcutaneous tissue disorders', 'Congenital, familial and genetic disorders', 'Infections and infestations', 'Respiratory, thoracic and mediastinal disorders', 'Psychiatric disorders', 'Renal and urinary disorders', 'Ear and labyrinth disorders', 'Cardiac disorders', 'Nervous system disorders', 'Injury, poisoning and procedural complications']"
